CRMS Site,Latitude,Longitude,NGOM2
CRMS0002,30.10025,-89.79173,0.30000
CRMS0003,30.09937,-89.25275,0.47496
CRMS0006,30.25993,-89.97923,0.54000
CRMS0008,30.23072,-90.68443,0.23300
CRMS0030,30.30482,-90.32942,0.38600
CRMS0033,30.27445,-90.3855,0.23100
CRMS0034,30.30348,-90.3855,0.28500
CRMS0035,30.26712,-89.66476,0.31200
CRMS0038,30.21616,-90.6817,0.34600
CRMS0039,30.10738,-90.68731,0.39700
CRMS0046,30.40488,-90.49934,0.29500
CRMS0047,30.13298,-90.53371,0.20900
CRMS0056,30.12919,-90.44297,0.49200
CRMS0058,30.16549,-90.53726,0.38700
CRMS0059,30.09295,-90.53906,0.48000
CRMS0061,30.22322,-90.63992,0.26400
CRMS0063,30.1321,-90.64094,0.37800
CRMS0065,30.12192,-90.811,0.37500
CRMS0086,30.31791,-89.63324,0.11227
CRMS0089,30.13183,-90.58307,0.11700
CRMS0090,30.15933,-90.56128,0.33100
CRMS0097,30.1582,-90.65826,0.22200
CRMS0103,30.3978,-90.25928,0.40900
CRMS0108,29.95506,-89.41592,0.23119
CRMS0114,29.75912,-89.91673,0.23103
CRMS0115,29.78089,-89.91673,0.57246
CRMS0117,29.80992,-89.91673,0.00000
CRMS0118,29.37444,-89.54172,0.32212
CRMS0119,29.47605,-89.63548,0.40188
CRMS0120,29.84622,-89.85423,0.61053
CRMS0121,29.69379,-89.82298,0.28543
CRMS0125,29.76637,-89.97923,0.54042
CRMS0128,29.8317,-89.94798,0.00000
CRMS0129,29.46879,-89.60422,0.56586
CRMS0131,29.69252,-89.88552,0.00000
CRMS0132,29.66476,-89.88548,0.00000
CRMS0135,29.68654,-89.76048,0.30165
CRMS0136,29.62122,-89.79173,0.50517
CRMS0139,29.3817,-89.47922,-0.12358
CRMS0146,29.73008,-89.72923,-0.01968
CRMS0147,29.66476,-89.60422,0.00000
CRMS0148,29.51235,-89.69798,0.73118
CRMS0153,29.11315,-89.13546,-0.09998
CRMS0154,29.11315,-89.19796,-0.10000
CRMS0156,29.16394,-89.16671,0.00274
CRMS0157,29.12766,-89.22921,-0.10010
CRMS0159,29.04056,-89.19796,0.04233
CRMS0161,29.29459,-89.16671,-0.07052
CRMS0162,29.16395,-89.13546,-0.10708
CRMS0163,29.21476,-89.41672,-0.08721
CRMS0164,29.19306,-90.16994,0.00000
CRMS0171,29.32377,-89.79605,-0.64415
CRMS0172,29.31653,-89.73433,0.36517
CRMS0173,29.4543,-89.72993,-0.35583
CRMS0174,29.3963,-89.76302,-1.14409
CRMS0175,29.2874,-90.13792,0.21244
CRMS0176,29.41078,-89.79333,-0.08127
CRMS0178,29.28748,-90.04698,-1.31879
CRMS0179,29.39623,-89.69845,0.26427
CRMS0181,29.33823,-89.70033,-0.19248
CRMS0185,29.79535,-90.07269,0.37506
CRMS0188,29.79541,-90.13549,0.21700
CRMS0189,29.80993,-90.26049,0.24700
CRMS0190,29.52686,-90.26049,0.08417
CRMS0192,29.85348,-90.54175,0.38900
CRMS0194,29.99133,-90.94014,0.54400
CRMS0197,29.91151,-90.94179,0.43800
CRMS0200,29.96965,-90.97757,0.54800
CRMS0206,29.83895,-90.66574,0.21500
CRMS0209,29.49057,-89.79173,0.26233
CRMS0211,29.7809,-90.47925,0.28600
CRMS0217,29.91875,-90.87864,0.40400
CRMS0218,29.7736,-90.69502,0.17100
CRMS0219,29.80267,-90.32299,0.26600
CRMS0220,29.56315,-90.07299,-0.28796
CRMS0224,29.49782,-89.91673,0.28746
CRMS0225,29.56315,-90.01048,0.06228
CRMS0226,29.51234,-89.88548,0.22935
CRMS0232,29.49783,-90.01048,0.30740
CRMS0234,29.79537,-90.10404,0.43000
CRMS0237,29.47605,-89.94798,-0.23335
CRMS0241,29.71556,-90.50994,0.22800
CRMS0248,29.59944,-90.07299,0.64553
CRMS0251,29.5196,-90.01048,0.18797
CRMS0253,29.55589,-90.07299,-0.06114
CRMS0258,29.52686,-89.82298,-0.09593
CRMS0260,29.53411,-89.85423,0.28713
CRMS0261,29.59944,-90.10424,0.37478
CRMS0263,29.55589,-89.88548,0.28051
CRMS0268,29.79541,-90.60425,0.38000
CRMS0272,29.41799,-89.69798,0.20264
CRMS0273,29.81718,-90.32299,0.55300
CRMS0276,29.62121,-89.94798,-0.40987
CRMS0278,29.80993,-90.22924,0.35000
CRMS0282,29.49783,-89.76048,0.33312
CRMS0287,29.68654,-90.01048,0.05358
CRMS0290,29.4833,-91.04176,0.66675
CRMS0292,29.14218,-90.22924,-0.12020
CRMS0293,29.24379,-91.19802,0.75193
CRMS0294,29.41798,-90.94801,0.33953
CRMS0296,29.41798,-90.91676,0.28479
CRMS0301,29.50508,-91.22927,0.41794
CRMS0302,29.14783,-90.91699,-1.33194
CRMS0303,29.24379,-91.07301,0.48811
CRMS0305,29.38895,-91.19802,0.44437
CRMS0307,29.25105,-90.82301,0.40838
CRMS0309,29.25105,-91.19802,0.51661
CRMS0310,29.29463,-90.29328,-0.09668
CRMS0311,29.21476,-90.79176,0.55378
CRMS0312,29.50508,-90.3855,0.39252
CRMS0315,29.40347,-90.573,0.61110
CRMS0318,29.29465,-90.32546,-0.10346
CRMS0319,29.32367,-90.32471,0.05736
CRMS0322,29.24379,-91.10454,0.38555
CRMS0324,29.99155,-91.23169,0.21000
CRMS0326,29.27282,-91.07301,0.30183
CRMS0327,29.44702,-91.07301,0.70978
CRMS0329,29.4833,-91.10426,0.11241
CRMS0331,29.58492,-90.54175,0.37103
CRMS0332,29.30185,-91.04176,-0.10000
CRMS0335,29.27286,-90.38772,0.23174
CRMS0336,29.32365,-90.38642,0.34151
CRMS0337,29.30915,-90.35593,-1.11671
CRMS0338,29.33091,-90.41821,0.38096
CRMS0341,29.30914,-90.51227,0.17337
CRMS0345,29.17122,-90.76129,0.41573
CRMS0347,29.16397,-90.69962,0.00000
CRMS0354,29.33088,-91.01051,0.00000
CRMS0355,29.29663,-90.54149,-1.61799
CRMS0365,29.46879,-91.19802,0.30411
CRMS0367,29.62847,-90.573,0.76026
CRMS0369,29.2946,-90.69801,0.92226
CRMS0371,29.42524,-91.07301,0.21912
CRMS0374,29.1567,-90.793,-0.15000
CRMS0376,29.12767,-90.85667,-0.26914
CRMS0377,29.22927,-91.0108,0.24984
CRMS0381,29.44702,-90.85426,0.54429
CRMS0382,29.4325,-90.85426,0.47157
CRMS0383,29.2075,-90.94888,0.37998
CRMS0385,29.41073,-90.60425,-0.08274
CRMS0386,29.4325,-90.35425,-0.05136
CRMS0387,29.41073,-90.323,0.17499
CRMS0390,29.46879,-90.66676,0.00000
CRMS0392,29.45428,-90.66676,0.00000
CRMS0394,29.35992,-90.85426,0.24302
CRMS0395,29.35992,-90.88551,0.00000
CRMS0396,29.3454,-90.88551,0.00000
CRMS0397,29.35266,-90.26049,0.20678
CRMS0398,29.38895,-90.91676,0.46537
CRMS0399,29.30185,-91.10426,0.37329
CRMS0400,29.49057,-90.5105,0.00000
CRMS0403,29.76638,-91.1331,0.32900
CRMS0409,29.47605,-90.91676,0.61298
CRMS0411,29.49782,-90.94801,0.35206
CRMS0414,29.70104,-90.94609,0.37664
CRMS0416,29.47605,-90.47925,0.56907
CRMS0421,29.17122,-90.82439,-0.04074
CRMS0434,29.32363,-90.72926,0.28817
CRMS0461,29.58492,-91.32302,0.48300
CRMS0463,29.49057,-91.32302,0.53900
CRMS0464,29.5196,-91.38552,0.87600
CRMS0465,29.54137,-91.38552,0.16400
CRMS0479,29.52686,-91.44803,-0.06300
CRMS0482,29.58492,-91.35427,0.58700
CRMS0488,29.70831,-91.54178,0.45985
CRMS0489,29.59944,-91.54178,-1.75637
CRMS0490,29.67928,-91.51053,0.60644
CRMS0493,29.75186,-91.76053,0.50454
CRMS0494,29.7446,-91.79178,0.42335
CRMS0496,29.6319,-91.544,0.29516
CRMS0498,29.49783,-91.85429,0.68113
CRMS0499,29.57041,-91.85429,-0.87222
CRMS0501,29.63573,-92.26054,-0.20000
CRMS0504,29.53412,-91.88554,0.43449
CRMS0507,29.58492,-92.22929,-0.07828
CRMS0508,29.64299,-92.22929,0.64963
CRMS0511,29.88976,-91.97929,0.25244
CRMS0513,29.79541,-91.60407,0.63827
CRMS0514,29.85347,-91.82304,0.52530
CRMS0517,29.64299,-91.57303,0.51738
CRMS0520,29.58492,-91.88554,-0.04774
CRMS0522,29.49782,-91.82304,0.60883
CRMS0523,29.57767,-91.82304,-0.05958
CRMS0524,29.54863,-91.82304,0.35964
CRMS0527,29.70831,-91.85429,0.51400
CRMS0529,29.59944,-91.91679,0.54907
CRMS0530,29.57767,-92.01054,0.72558
CRMS0531,29.85347,-91.94804,0.82680
CRMS0532,29.82444,-91.94804,-1.56506
CRMS0535,29.64299,-92.16679,0.61495
CRMS0536,29.58492,-92.26054,0.63616
CRMS0541,29.61621,-92.04112,-1.20166
CRMS0542,29.80266,-91.63553,0.69454
CRMS0543,29.75186,-91.63553,0.48629
CRMS0544,29.68654,-91.57303,0.25023
CRMS0545,29.71557,-91.60428,0.40914
CRMS0547,29.83895,-91.69803,0.82761
CRMS0549,29.8317,-91.85429,0.59800
CRMS0550,29.76637,-91.69803,0.50054
CRMS0551,29.70105,-91.54178,0.58893
CRMS0552,29.79541,-92.13554,0.65534
CRMS0553,29.84623,-93.01057,0.60195
CRMS0554,29.83171,-92.6668,0.10540
CRMS0556,29.91155,-92.79181,0.40350
CRMS0557,29.94058,-92.66681,0.33681
CRMS0560,29.85348,-92.5418,0.55529
CRMS0562,29.76639,-92.76056,0.11266
CRMS0565,29.79541,-92.44805,0.43862
CRMS0567,29.90428,-92.44805,0.05000
CRMS0568,29.78815,-92.4168,0.42577
CRMS0570,29.80267,-92.38555,0.38468
CRMS0571,29.70831,-92.29179,0.65149
CRMS0572,29.78815,-92.29179,0.34573
CRMS0574,29.79542,-92.63555,0.28531
CRMS0575,29.94058,-92.94807,0.37910
CRMS0576,29.59219,-92.4793,0.26635
CRMS0580,29.6067,-92.32305,0.44571
CRMS0581,29.66477,-92.72931,0.58962
CRMS0583,29.83896,-92.91681,0.16542
CRMS0584,29.79542,-92.85431,0.25066
CRMS0587,29.79542,-92.91681,0.26843
CRMS0588,29.77364,-92.82306,0.20729
CRMS0589,29.66477,-92.82306,0.18080
CRMS0590,29.93332,-92.82306,0.09129
CRMS0593,29.99139,-92.76056,0.51818
CRMS0595,29.85348,-92.63555,0.66880
CRMS0599,29.6067,-92.66681,0.27455
CRMS0600,29.57767,-92.54181,0.71744
CRMS0603,29.80268,-92.76056,0.03733
CRMS0604,29.75912,-92.76056,0.04932
CRMS0605,29.86074,-92.91682,0.26006
CRMS0608,29.67203,-92.6668,0.23829
CRMS0609,29.63574,-92.6043,0.59928
CRMS0610,29.6067,-92.63555,0.49917
CRMS0614,29.73736,-92.88556,-0.05000
CRMS0615,29.67929,-92.82306,0.20808
CRMS0616,29.73009,-92.26054,0.66645
CRMS0618,29.73735,-92.26054,0.59756
CRMS0619,29.68654,-92.26054,0.87915
CRMS0622,29.80993,-92.97931,0.41140
CRMS0623,29.63573,-92.51055,0.48213
CRMS0624,29.86074,-92.88556,0.34782
CRMS0626,29.6938,-92.6043,0.41570
CRMS0630,29.78626,-92.79182,-0.15000
CRMS0632,29.57041,-92.38555,0.60154
CRMS0633,29.56315,-92.32304,0.63601
CRMS0635,29.91881,-93.47932,0.19109
CRMS0638,29.868,-93.51057,0.35049
CRMS0639,29.88977,-93.47932,0.47532
CRMS0641,29.89703,-93.51057,0.45730
CRMS0642,29.868,-93.47932,0.45119
CRMS0644,29.83171,-93.29182,-0.20000
CRMS0645,29.84623,-93.19807,-0.20000
CRMS0647,29.84623,-93.47932,0.47065
CRMS0648,29.83897,-93.16682,-0.20000
CRMS0650,29.91881,-93.13557,0.85034
CRMS0651,29.96236,-93.51057,0.25312
CRMS0655,29.79542,-93.41682,-0.20000
CRMS0656,30.02042,-93.26057,0.44391
CRMS0658,30.05671,-93.60432,0.47492
CRMS0660,29.91881,-93.66682,-0.20000
CRMS0661,29.84623,-93.63557,-0.20000
CRMS0662,30.03494,-93.69808,-0.20000
CRMS0663,30.01316,-93.69808,-0.20000
CRMS0665,29.96236,-93.69807,0.77852
CRMS0669,29.88251,-93.72932,0.21698
CRMS0672,29.83171,-93.41682,0.13582
CRMS0677,29.85349,-93.54182,0.47710
CRMS0680,29.77365,-93.51057,0.51813
CRMS0682,29.82445,-93.57307,0.27363
CRMS0683,29.88977,-93.66682,0.83804
CRMS0684,29.81719,-93.82308,0.32352
CRMS0685,29.88977,-93.38557,0.63605
CRMS0687,29.94058,-93.35432,0.62378
CRMS0691,29.96235,-93.10432,0.23491
CRMS0693,29.89703,-93.63557,0.43596
CRMS0694,29.88251,-93.54182,-0.20000
CRMS0697,30.06418,-93.66698,1.23490
CRMS0978,29.32365,-90.29251,0.09984
CRMS1024,29.87473,-89.37876,0.26333
CRMS1069,30.0485,-89.21826,0.05902
CRMS1100,29.65751,-92.44805,0.56105
CRMS1130,29.70106,-92.38555,0.49396
CRMS1205,29.87526,-93.57307,-0.20000
CRMS1277,29.82445,-92.4793,0.45440
CRMS1409,29.868,-93.01057,0.23924
CRMS1413,29.89703,-93.01057,0.38779
CRMS1446,29.92606,-92.82306,-0.00541
CRMS1650,29.80992,-92.04179,-0.46700
CRMS1738,29.85349,-93.22932,-0.20000
CRMS1743,29.88978,-93.22932,0.15704
CRMS1838,29.7809,-93.69807,0.12149
CRMS1858,29.83897,-93.51057,0.68360
CRMS1965,29.63573,-92.4793,-0.20000
CRMS2041,29.76638,-92.16679,0.55211
CRMS2154,29.84623,-93.69807,-0.20000
CRMS2156,29.87526,-93.69807,0.00000
CRMS2166,29.98413,-93.69808,0.53547
CRMS2189,29.92606,-93.76058,0.57623
CRMS2219,29.76639,-93.60432,0.28581
CRMS2334,29.88252,-93.51057,0.00000
CRMS2418,29.87526,-93.16682,-0.20000
CRMS2493,29.82445,-92.88556,0.51784
CRMS2568,29.56315,-91.35427,0.54000
CRMS2608,29.22983,-89.31328,0.02856
CRMS2614,29.33814,-89.32296,-0.01062
CRMS2627,29.2287,-89.18735,-0.13738
CRMS2634,29.22927,-89.26046,-0.21381
CRMS2785,29.50508,-91.04176,0.60287
CRMS2825,29.49783,-90.448,0.07330
CRMS2830,30.03624,-90.34074,0.55800
CRMS2854,30.30348,-89.97923,0.27000
CRMS2862,29.54863,-91.07301,0.47775
CRMS2881,29.47605,-91.01051,0.36494
CRMS2887,29.5196,-90.91676,0.29016
CRMS2939,29.59944,-90.573,0.23767
CRMS2991,29.63573,-90.448,0.44600
CRMS3054,29.72283,-90.35425,0.41000
CRMS3136,29.94783,-90.63551,0.35500
CRMS3166,29.8585,-90.28868,-0.12000
CRMS3169,29.88891,-90.27227,0.40600
CRMS3296,29.38896,-90.47925,-0.00009
CRMS3565,29.49783,-90.10424,-0.04255
CRMS3590,29.48331,-89.94798,0.25932
CRMS3601,29.57767,-89.94798,-0.14431
CRMS3617,29.54863,-89.91673,-0.10281
CRMS3626,30.10751,-89.85423,0.32500
CRMS3639,29.90427,-89.85423,0.54914
CRMS3641,29.91879,-89.85423,0.27569
CRMS3650,30.0567,-89.82298,0.71500
CRMS3664,29.91153,-89.82298,0.36980
CRMS3667,30.25993,-89.88548,0.23200
CRMS3680,29.51235,-89.79173,0.34039
CRMS3784,30.15832,-89.66672,-0.27100
CRMS3800,29.83896,-89.66672,0.09962
CRMS3913,30.16557,-90.47925,0.34200
CRMS3985,29.7175,-90.14901,0.18448
CRMS4014,29.54863,-91.32302,0.49100
CRMS4016,29.56315,-91.38552,0.53200
CRMS4045,29.38169,-91.01051,0.36287
CRMS4094,30.38572,-90.14679,0.47500
CRMS4103,29.6575,-90.04173,-0.20769
CRMS4107,30.0567,-89.85423,0.00000
CRMS4110,30.20187,-89.66672,-0.45500
CRMS4218,29.56315,-90.16674,-1.81052
CRMS4245,29.67202,-90.13549,-0.08699
CRMS4355,29.83896,-89.82298,0.31104
CRMS4406,30.20187,-89.72922,0.18700
CRMS4407,30.22363,-89.72922,0.28600
CRMS4448,29.21475,-89.22921,0.05350
CRMS4455,29.2583,-90.94801,0.48805
CRMS4529,29.46879,-89.82298,-0.05532
CRMS4548,29.86073,-89.66672,0.23236
CRMS4551,29.85348,-89.60422,0.17991
CRMS4557,29.82444,-89.57297,0.00000
CRMS4572,30.0567,-89.47921,0.18053
CRMS4596,30.0567,-89.44796,0.21982
CRMS4626,29.33814,-89.19796,0.29063
CRMS4690,29.49783,-90.04174,0.18716
CRMS4779,29.64299,-91.44736,0.49600
CRMS4782,29.66477,-91.44702,1.05500
CRMS4808,29.63574,-91.41576,0.49500
CRMS4809,29.65026,-91.41553,0.53200
CRMS4900,29.63573,-91.2594,0.63000
CRMS4938,29.61395,-91.32278,0.47600
CRMS5003,29.62122,-91.29092,0.66800
CRMS5035,29.62121,-91.03966,0.32303
CRMS5116,29.96955,-90.90878,0.55300
CRMS5167,30.14367,-90.77862,0.28700
CRMS5255,30.19451,-90.59718,0.30800
CRMS5267,30.29963,-90.6023,0.77786
CRMS5373,30.10068,-90.63077,0.26000
CRMS5414,30.15824,-90.63067,0.28400
CRMS5452,30.36863,-90.53218,0.35400
CRMS5536,29.96961,-91.12931,0.86200
CRMS5672,29.86795,-90.84838,0.37700
CRMS5770,29.7594,-90.90085,0.57293
CRMS5845,30.18719,-90.68545,0.25400
CRMS5992,29.77364,-91.54136,0.32691
CRMS6008,29.62848,-91.47873,0.60800
CRMS6038,29.6067,-91.35392,0.50600
CRMS6042,29.63574,-91.35345,0.83400
CRMS6088,30.3116,-89.66222,0.58780
CRMS6090,30.32511,-89.6628,0.50317
CRMS6209,30.37605,-90.25989,0.23300
CRMS6299,30.05059,-90.35142,0.17500
CRMS6301,29.96036,-93.40959,0.44016
CRMS6302,30.03997,-93.42292,0.86933
CRMS6303,29.47261,-90.19157,0.64203
CRMS6304,29.42376,-91.27523,0.21800
